text,link
"
රා.තෝ.කේ මගින් ආවරණය කරන මහ නගර සභා ලැයිස්තුව
Organizations under this catogry will be available soon
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=14&task=cat
"
රා.තෝ.කේ මගින් ආවරණය කරන ප්‍රාදේශීය සභා ලැයිස්තුව
හෝමාගම ප්‍රාදේශීය සභාව
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=16&task=cat
"
රා.තෝ.කේ මගින් ආවරණය කරන රජයේ රෝහල් ලැයිස්තුව
රිජ්වේ ආර්යා ළමා රෝහල
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=20&task=cat
"
රා.තෝ.කේ මගින් ආවරණය කරන පළාත් සභා ලැයිස්තුව
පරිවාස හා ළමාරක්ෂක සේවා දෙපාර්තමේන්තුව,බස්නාහිර පළාතMinistry of Road development, Housing, Water supply, Consumer affairs &amp; Co-operativeOffice of the Provincial Commissioner of Motor Traffic (Western Province)Uva Provincial Council Pressඌව පළාත් සභා රාජ්‍ය සේවා කොමිෂන් සභාවUva Provincial Revenue Departmentඌව පළාත් මාර්ග සංවර්ධන දෙපාර්තමේන්තුව
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=11&task=cat
"
රා.තෝ.කේ මගින් ආවරණය කරන ප්‍රාදේශීය ලේකම් කාර්යාල  ලැයිස්තුව
ප්‍රාදේශීය ලේ‍කම් කාර්ය්‍යාලය - කොළඹ
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=13&task=cat
"
රා.තෝ.කේ මගින් ආවරණය කරන රාජ්‍ය බැංකු ලැයිස්තුව
ලංකා බැංකුවශ්‍රී ලංකා මහ බැංකුවනිවාස සංවර්ධන මූල්‍ය සංස්ථා බැංකුවලංකාපුත්‍ර සංවර්ධන බෑංකුවNational Savings Bankමහජන බැංකුවප්‍රාදේශීය සංවර්ධන බැංකුවශ්‍රී ලංකා ඉතිරි කිරීමේ බැංකුවරාජ්‍ය  උකස් හා ආයෝජන බැංකුව
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=17&task=cat
"
රා.තෝ.කේ මගින් ආවරණය කරන නගර සභා ලැයිස්තුව
Kalutara Urban Councilකැස්බෑව නගර සභාව
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=15&task=cat
"
රා.තෝ.කේ මගින් ආවරණය කරන පාර්ලිමේන්තුව ලැයිස්තුව
Organizations under this catogry will be available soon
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=3&task=cat
"
රා.තෝ.කේ මගින් ආවරණය කරන දිස්ත්‍රික් ලේකම් කාර්යාල ලැයිස්තුව
Organizations under this catogry will be available soon
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=12&task=cat
"
රා.තෝ.කේ මගින් ආවරණය කරන ආයතනයන් ලැයිස්තුව
Ceylon-German Technical Training InstituteHector Kobbekaduwa Agrarian Research and Training InstituteIndustrial Technology InstituteInstitute of Policy Studies of Sri Lanka Medical Research Instituteජාතික ශ්‍රම අධ්‍යයන ආයතනයජාතික වෘත්තීය සුරක්‍ෂිතතා සහ සෞඛ්‍ය ආයතනයශ්‍රී ලංකා ප්‍රමිති ආයතනය
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=19&task=cat
"
රා.තෝ.කේ මගින් ආවරණය කරන අනෙකුත් රාජ්‍ය ආයතන ලැයිස්තුව
සී.ස ලංකා පොහොර සමාගමChilaw Plantations Limitedඉදිකිරීම්‍ ආරක්ෂණ අරමුදලවෙළඳ නැව් අංශය - වරාය හා මහාමාර්ග අමාත්‍යාංශයආපදා කළමනාකරණ මධ්‍යස්ථානයශ්‍රි ලංකා තොරතුරු හා සන්නිවේදන තාක්ෂණ නියෝජිතායතනයKurunegala Plantations LimitedLeadership Development National center (LDNC)ජාතික ගොඩනැගිලි පර්යේෂණ සංවිධානයNational Design Centreජාතික ආපදා සහන සේවා මධ්‍යස්ථානයජාතික ඵලදායිතා ලේකම් කාර්යාලයNational Youth Sevices Council (NYSC)Srama Wasana FundSri Lanka Planetariumඋපායමාර්ගික ව්‍යවසාය කළමණාකරණ ආයතනය (සෙමා)Tower Hall Theatre FoundationUniversity of Vocational Technology (UNIVOTEC)
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=10&task=cat
"
රා.තෝ.කේ මගින් ආවරණය කරන කොමිෂන් සභා ලැයිස්තුව
අල්ලස් හෝ දූෂණ චෝදනා විමර්ශන කොමිෂන් සභාවමැතිවරණ කොමිෂන් සභාවමානව හිමිකම් කොමිෂන් සභාවOfficial Languages Commissionරාජ්‍ය සේවා කොමිෂන් සභාවPublic Utilities Commission of Sri Lankaනීති ආධාර කොමිෂන් සභාවතෘතීයීක හා වෘත්තීය අධ්‍යාපන කොමිෂන් සභාවවිශ්වවිද්‍යාල ප්‍රතිපාදන කොමිෂන් සභාව
",http://www.gic.gov.lk/gic/index.php/si/component/org/?id=8&task=cat
